,Type,Name,X,Y,Z,Width,PavementType,OnStructure,AutoVolume,AutoSpeedMph,MediumTruckVolume,MediumTruckSpeedMph,HeavyTruckVolume,HeavyTruckSpeedMph,BusVolume,BusSpeedMph,MotorcycleVolume,MotorcycleSpeedMph,ControlDevice,AffectedVehicles,ConstraintSpeedMph
2,Roadway,121-04401,-9526241.121888127,4623484.5323250145,1,12,Average,False,2104.249502526202,56.44955,72.97053002345416,55.01795,219.41589509663666,55.01795,20.100764991926006,55.01795,6.839324501194391,55.602,,100,0
0,Roadway,121-04349,-9527497.91893918,4623661.872130552,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
1,Roadway,121-04349,-9527620.370379055,4623583.842239517,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
2,Roadway,121-04349,-9527735.02945457,4623510.069068615,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
3,Roadway,121-04349,-9527814.066293035,4623457.576942201,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
4,Roadway,121-04349,-9527965.460800514,4623359.686935372,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
5,Roadway,121-04349,-9528202.571315903,4623207.888331962,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
6,Roadway,121-04349,-9528433.002661845,4623058.929262778,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
7,Roadway,121-04349,-9528731.33889717,4622868.832249487,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
8,Roadway,121-04349,-9529027.44874268,4622678.738748172,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
9,Roadway,121-04349,-9529253.427308992,4622534.043063809,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
10,Roadway,121-04349,-9529440.444053523,4622412.046322651,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
11,Roadway,121-04349,-9529598.51773045,4622311.329172796,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
12,Roadway,121-04349,-9529683.120543452,4622257.424624339,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
13,Roadway,121-04349,-9529779.968500445,4622196.427712678,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
14,Roadway,121-04349,-9529845.647000011,4622159.546034519,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
15,Roadway,121-04349,-9529913.551889395,4622128.338563935,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
16,Roadway,121-04349,-9529982.569973687,4622101.386733685,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
17,Roadway,121-04349,-9530053.814447796,4622078.690510328,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
18,Roadway,121-04349,-9530128.398506628,4622061.6683756625,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
19,Roadway,121-04349,-9530559.204935996,4621977.976623088,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
20,Roadway,121-04349,-9530758.466824517,4621939.677234512,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
21,Roadway,121-04349,-9530876.465484757,4621914.144387981,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
