tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,tmclinear,frc,border_set,f_system,urban_code,faciltype,structype,thrulanes,route_numb,route_sign,route_qual,altrtename,aadt,aadt_singl,aadt_combi,nhs,nhs_pct,strhnt_typ,strhnt_pct,truck,isprimary,active_start_date,active_end_date,thrulanes_unidir,aadt_unidir,aadt_singl_unidir,aadt_combi_unidir
114+12567,NW EVERETT ST,EASTBOUND,STEEL BRIDGE/NW NAITO PKWY,OR,MULTNOMAH,97209,45.52505,-122.68528,45.52531,-122.67147,0.668696,4.0,America/Los_Angeles,P1.11,USA,1825,4,N,4,71317,1,,2,,1,1,,5673,440,281,4,64,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,5673,440,281
114+12669,NE GLISAN ST,EASTBOUND,NE 122ND AVE,OR,MULTNOMAH,97220,45.52628,-122.55818,45.5263,-122.53774,0.989259,10.0,America/Los_Angeles,P1.11,USA,1849,4,N,3,71317,2,,4,,1,1,,18040,1921,846,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,9020,961,423
114P11929,NE 82ND AVE,NORTHBOUND,NE AIRPORT WAY,OR,MULTNOMAH,97220,45.58027,-122.57312,45.58125,-122.57269,0.076477,3.0,America/Los_Angeles,P1.11,USA,1641,4,N,3,71317,2,,4,,1,1,,22090,1405,669,2,99,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,11045,703,335
114+12668,NE GLISAN ST,EASTBOUND,NE 102ND AVE,OR,MULTNOMAH,97220,45.52633,-122.56433,45.52628,-122.55818,0.297695,9.0,America/Los_Angeles,P1.11,USA,1849,4,N,3,71317,2,1,4,,1,1,,28761,3063,1352,1,99,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,14381,1532,676
114+08189,N INTERSTATE AVE,NORTHBOUND,N RUSSELL ST,OR,MULTNOMAH,97227,45.52938,-122.66596,45.54101,-122.6771,1.024461,3.0,America/Los_Angeles,P1.11,USA,483,4,N,4,71317,2,,2,,1,1,,12767,534,230,5,67,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,6384,267,115
114P04495,I-84,EASTBOUND,238TH DR/EXIT 16,OR,MULTNOMAH,97060,45.53998,-122.42398,45.54116,-122.41353,0.527338,33.0,America/Los_Angeles,P1.3,USA,95,1,N,1,71317,2,,6,84,2,1,84,54369,2299,8122,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,27185,1150,4061
114-08295,US-30-BYP,WESTBOUND,NE SANDY BLVD,OR,MULTNOMAH,97220,45.55728,-122.53822,45.55941,-122.56073,1.099074,8.0,America/Los_Angeles,P1.11,USA,385,4,N,3,71317,2,,4,30,3,4,30BY,19106,2059,535,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,9553,1030,268
114-08292,BURNSIDE,EASTBOUND,SE 202ND AVE,OR,MULTNOMAH,97233,45.52192,-122.47715,45.51499,-122.45511,1.18279,22.0,America/Los_Angeles,P1.11,USA,468,2,N,3,71317,2,,4,,1,1,,13977,1487,656,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,6989,744,328
114+12670,NE GLISAN ST,EASTBOUND,NE 148TH AVE,OR,MULTNOMAH,97230,45.5263,-122.53774,45.52645,-122.51063,1.312176,11.0,America/Los_Angeles,P1.11,USA,1849,4,N,3,71317,2,,4,,1,1,,18026,1920,847,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,9013,960,424
114P04494,I-84,EASTBOUND,207TH AVE/EXIT 14,OR,MULTNOMAH,97024,45.53943,-122.4545,45.53976,-122.44275,0.572248,31.0,America/Los_Angeles,P1.3,USA,95,1,N,1,71317,2,1,6,84,2,1,84,70778,2652,7076,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,35389,1326,3538
